Rank,Club,Country,Level,Elo,From,To
46.0,Monaco,FRA,1,1717.51831055,2026-05-31,2026-08-23
47.0,St Gillis,BEL,1,1716.76196289,2026-08-12,2026-08-15
48.0,Marseille,FRA,1,1716.74267578,2026-05-31,2026-08-21
49.0,Rennes,FRA,1,1716.11877441,2026-05-31,2026-08-23
50.0,Strasbourg,FRA,1,1710.80419922,2026-05-31,2026-08-21
51.0,Bodoe Glimt,NOR,1,1708.89233398,2026-08-12,2026-08-30
52.0,Rayo Vallecano,ESP,1,1707.33996582,2026-05-28,2026-08-15
53.0,Lazio,ITA,1,1703.16955566,2026-05-24,2026-08-24
54.0,Bologna,ITA,1,1701.27783203,2026-05-28,2026-08-24
55.0,Celta,ESP,1,1700.77661133,2026-05-28,2026-08-16
56.0,Hoffenheim,GER,1,1700.35388184,2026-05-24,2026-08-29
57.0,Braga,POR,1,1698.91113281,2026-08-10,2026-08-13
58.0,Valencia,ESP,1,1697.41491699,2026-05-28,2026-08-22
59.0,Midtjylland,DEN,1,1687.3840332,2026-08-07,2026-08-13
60.0,Galatasaray,TUR,1,1684.27087402,2026-05-24,2026-08-30
61.0,Wolves,ENG,2,1679.69335938,2026-07-04,2026-08-14
62.0,Bilbao,ESP,1,1677.90063477,2026-05-28,2026-08-22
63.0,Mainz,GER,1,1671.92541504,2026-05-21,2026-08-29
64.0,Fiorentina,ITA,1,1670.17321777,2026-05-28,2026-08-24
65.0,Sociedad,ESP,1,1669.46508789,2026-05-28,2026-08-21
66.0,Burnley,ENG,2,1666.33679199,2026-07-04,2026-08-16
67.0,Getafe,ESP,1,1664.07470703,2026-05-28,2026-08-15
68.0,Frankfurt,GER,1,1663.77990723,2026-05-24,2026-08-29
69.0,Olympiakos,GRE,0,1663.37609863,2026-08-12,2026-08-30
70.0,Coventry,ENG,1,1661.4777832,2026-07-04,2026-08-21
71.0,Zenit,RUS,1,1657.19775391,2026-05-24,2026-08-30
72.0,Fenerbahce,TUR,1,1655.55847168,2026-08-12,2026-08-15
73.0,Slavia Praha,CZE,1,1654.11645508,2026-08-10,2026-08-30
74.0,Toulouse,FRA,1,1652.31567383,2026-05-31,2026-08-22
75.0,Osasuna,ESP,1,1650.25793457,2026-05-28,2026-08-16
76.0,Udinese,ITA,1,1645.94152832,2026-05-25,2026-08-22
77.0,Gladbach,GER,1,1640.84326172,2026-07-05,2026-08-29
78.0,AEK,GRE,1,1640.65869141,2026-07-05,2026-08-22
79.0,Ipswich,ENG,1,1639.99816895,2026-07-05,2026-08-22
80.0,Lorient,FRA,1,1639.05737305,2026-07-05,2026-08-22
81.0,Levante,ESP,1,1638.7401123,2026-07-05,2026-08-16
82.0,Augsburg,GER,1,1636.44641113,2026-07-05,2026-08-30
83.0,Southampton,ENG,2,1636.34643555,2026-07-05,2026-08-16
84.0,Alaves,ESP,1,1634.98168945,2026-07-05,2026-08-15
85.0,FC Krasnodar,RUS,1,1632.22900391,2026-07-05,2026-08-30
86.0,Viking,NOR,1,1631.9107666,2026-08-09,2026-08-30
87.0,Espanyol,ESP,1,1629.45581055,2026-07-05,2026-08-16
88.0,Paris FC,FRA,1,1629.32727051,2026-07-05,2026-08-22
89.0,Sevilla,ESP,1,1625.92333984,2026-07-05,2026-08-15
90.0,Auxerre,FRA,1,1624.1114502,2026-07-05,2026-08-22
91.0,Torino,ITA,1,1624.05871582,2026-07-05,2026-08-23
92.0,Elche,ESP,1,1623.40344238,2026-07-05,2026-08-17
93.0,Sassuolo,ITA,1,1622.01708984,2026-07-05,2026-08-23
94.0,Brest,FRA,1,1620.84436035,2026-07-05,2026-08-22
95.0,Union Berlin,GER,1,1619.43066406,2026-07-05,2026-08-29
96.0,Genoa,ITA,1,1618.22705078,2026-07-05,2026-08-22
97.0,Werder,GER,1,1606.01928711,2026-07-05,2026-08-30
98.0,PAOK,GRE,1,1605.5760498,2026-08-07,2026-08-23
99.0,Millwall,ENG,2,1604.41833496,2026-07-05,2026-08-15
100.0,Feyenoord,NED,1,1602.56091309,2026-08-10,2026-08-30
,Hamburg,GER,1,1602.14746094,2026-05-21,2026-08-29
,Parma,ITA,1,1599.93139648,2026-05-25,2026-08-22
,Wolfsburg,GER,2,1599.56994629,2026-08-09,2026-08-30
,Venezia,ITA,2,1598.84887695,2026-05-09,2026-08-23
,Cagliari,ITA,1,1594.30480957,2026-05-25,2026-08-22
,Famalicao,POR,1,1590.96606445,2026-08-08,2026-08-30
,Middlesbrough,ENG,2,1588.94506836,2026-05-31,2026-08-15
,Crvena Zvezda,SRB,1,1586.15527344,2026-08-12,2026-08-30
,Aarhus,DEN,1,1582.55212402,2026-08-12,2026-08-14
,Nice,FRA,1,1582.37231445,2026-05-31,2026-08-22
,Santander,ESP,1,1581.93212891,2026-07-04,2026-08-16
,Genk,BEL,1,1581.32556152,2026-08-10,2026-08-15
,Le Havre,FRA,1,1580.06872559,2026-05-31,2026-08-23
,FC Kobenhavn,DEN,1,1578.41003418,2026-08-13,2026-08-16
,Ajax,NED,1,1578.02783203,2026-08-10,2026-08-13
,Dinamo Zagreb,CRO,1,1577.11853027,2026-08-12,2026-08-30
,Celtic,SCO,1,1575.15283203,2026-08-10,2026-08-30
,Malaga,ESP,1,1568.62780762,2026-07-04,2026-08-19
,Koeln,GER,1,1568.16870117,2026-05-21,2026-08-29
,Lecce,ITA,1,1568.02050781,2026-05-25,2026-08-23
,Twente,NED,1,1567.7479248,2026-08-10,2026-08-30
,Frosinone,ITA,2,1564.72619629,2026-05-09,2026-08-23
,Paphos,CYP,0,1561.03271484,2026-08-07,2026-08-13
,Norwich,ENG,2,1560.36108398,2026-05-31,2026-08-15
,Viktoria Plzen,CZE,1,1556.39892578,2026-08-09,2026-08-30
,Almeria,ESP,2,1556.2635498,2026-06-21,2026-08-17
,Lok Moskva,RUS,1,1555.28356934,2026-03-16,2026-08-30
,CSKA Moskva,RUS,1,1554.62353516,2026-03-15,2026-08-30
,St Truiden,BEL,1,1554.60754395,2026-08-09,2026-08-14
,Karabakh Agdam,AZE,0,1554.37609863,2026-08-07,2026-08-13
,Heidenheim,GER,2,1552.56982422,2026-08-09,2026-08-30
,Spartak Moskva,RUS,1,1550.99316406,2026-03-15,2026-08-30
,Sparta Praha,CZE,1,1547.84729004,2026-08-12,2026-08-30
,Angers,FRA,1,1547.54577637,2026-05-31,2026-08-23
,Panathinaikos,GRE,1,1546.63842773,2026-08-12,2026-08-23
,Sheffield United,ENG,2,1546.58056641,2026-05-31,2026-08-15
,Castellon,ESP,2,1546.32897949,2026-06-10,2026-08-14
,Depor,ESP,1,1546.31347656,2026-07-04,2026-08-17
,Nantes,FRA,2,1544.4296875,2026-08-09,2026-08-30
,Monza,ITA,2,1543.99084473,2026-05-30,2026-08-22
,Reims,FRA,2,1541.97412109,2026-08-09,2026-08-30
,Nordsjaelland,DEN,1,1541.78027344,2026-08-07,2026-08-13
,Derby,ENG,2,1539.21325684,2026-05-31,2026-08-15
,Alkmaar,NED,1,1539.2130127,2026-08-09,2026-08-15
,Dynamo Moskva,RUS,1,1538.52539062,2026-03-15,2026-08-30
,Swansea,ENG,2,1536.28552246,2026-05-31,2026-08-15
,St Pauli,GER,2,1532.94165039,2026-08-10,2026-08-30
,Hull,ENG,1,1532.88037109,2026-07-04,2026-08-22
,Nijmegen,NED,1,1531.59875488,2026-08-12,2026-08-30
,Cremonese,ITA,1,1531.55664062,2026-05-25,2026-08-30
,Brondby,DEN,1,1529.92541504,2026-08-10,2026-08-30
,Brann,NOR,1,1528.16918945,2026-08-12,2026-08-30
,Hannover,GER,2,1527.87036133,2026-08-10,2026-08-30
,Wrexham,ENG,2,1527.45922852,2026-05-31,2026-08-17
,Trabzonspor,TUR,1,1526.23779297,2026-05-18,2026-08-15
,Paderborn,GER,1,1525.36743164,2026-07-04,2026-08-29
,Anderlecht,BEL,1,1523.74475098,2026-08-10,2026-08-30
,Elversberg,GER,1,1523.3984375,2026-07-04,2026-08-29
,Troyes,FRA,1,1521.14294434,2026-07-04,2026-08-22
,Lech,POL,1,1520.91870117,2026-08-10,2026-08-30
,Bueyueksehir,TUR,1,1520.46105957,2026-07-31,2026-08-16
,Utrecht,NED,1,1520.30163574,2026-08-10,2026-08-15
,Ferencvaros,HUN,1,1520.0501709,2026-08-06,2026-08-13
,Schalke,GER,1,1519.74230957,2026-07-04,2026-08-30
,Rangers,SCO,1,1517.05700684,2026-08-10,2026-08-30
,Besiktas,TUR,1,1516.34155273,2026-08-07,2026-08-13
,Mjaellby,SWE,1,1515.64575195,2026-08-12,2026-08-15
,Guimaraes,POR,1,1515.55200195,2026-08-09,2026-08-14
,Palermo,ITA,2,1514.03552246,2026-05-21,2026-08-30
,Rakow,POL,1,1513.4987793,2026-08-10,2026-08-13
,Viborg,DEN,1,1512.19714355,2026-08-08,2026-08-14
,Gil Vicente,POR,1,1507.8458252,2026-08-10,2026-08-30
,Saint-Etienne,FRA,2,1507.84033203,2026-08-09,2026-08-30
,Bristol City,ENG,2,1507.68249512,2026-05-31,2026-08-15
,Hammarby,SWE,1,1507.66381836,2026-08-10,2026-08-13
,Birmingham,ENG,2,1507.06591797,2026-05-31,2026-08-15
,Charleroi,BEL,1,1504.9967041,2026-08-10,2026-08-30
,West Brom,ENG,2,1504.70568848,2026-05-31,2026-08-15
,Verona,ITA,1,1502.55664062,2026-05-25,2026-08-30
,Standard,BEL,1,1502.06091309,2026-08-09,2026-08-30
,Arouca,POR,1,1500.69494629,2026-08-09,2026-08-30
,Gijon,ESP,2,1499.9888916,2026-05-31,2026-08-17
,Portsmouth,ENG,2,1499.31555176,2026-05-31,2026-08-15
,Gent,BEL,1,1497.22460938,2026-08-10,2026-08-30
,Tromso,NOR,1,1496.79077148,2026-08-07,2026-08-30
,Rodez,FRA,2,1494.44543457,2026-08-09,2026-08-30
,Larnaca,CYP,0,1494.35534668,2026-07-31,2026-08-30
,Estoril,POR,1,1493.88000488,2026-08-08,2026-08-30
,Blackburn,ENG,2,1493.27905273,2026-05-31,2026-08-14
,Le Mans,FRA,1,1492.42114258,2026-07-04,2026-08-22
,Metz,FRA,2,1489.80981445,2026-08-09,2026-08-30
,Bochum,GER,2,1486.64123535,2026-08-08,2026-08-14
,Baltika,RUS,1,1484.52722168,2026-03-15,2026-08-30
,Santa Clara,POR,1,1482.95849609,2026-08-11,2026-08-30
,Salzburg,AUT,1,1482.40710449,2026-08-10,2026-08-13
,QPR,ENG,2,1480.5098877,2026-05-31,2026-08-15
,Antwerp,BEL,1,1480.3248291,2026-08-10,2026-08-15
,Moreirense,POR,1,1478.99902344,2026-08-10,2026-08-30
,Preston,ENG,2,1478.86474609,2026-05-31,2026-08-15
,Mechelen,BEL,1,1478.85229492,2026-08-10,2026-08-30
,Montpellier,FRA,2,1477.11669922,2026-08-09,2026-08-30
,Westerlo,BEL,1,1475.3503418,2026-08-09,2026-08-15
,Apollon Lemesos,CYP,0,1474.15783691,2026-08-12,2026-08-30
,Hearts,SCO,1,1473.26843262,2026-08-10,2026-08-30
,Djurgarden,SWE,1,1472.00256348,2026-08-11,2026-08-30
,Sturm Graz,AUT,1,1471.63842773,2026-08-12,2026-08-30
,StGallen,SUI,1,1469.69934082,2026-08-10,2026-08-30
,Bolton,ENG,2,1468.6348877,2026-07-03,2026-08-15
,Cardiff,ENG,2,1468.6348877,2026-07-03,2026-08-17
,Heerenveen,NED,1,1468.30761719,2026-08-10,2026-08-30
,Molde,NOR,1,1467.12402344,2026-08-10,2026-08-30
,Jagiellonia,POL,1,1466.60534668,2026-08-10,2026-08-30
,Beer-Sheva,ISR,1,1466.13769531,2026-08-12,2026-08-30
,Annecy,FRA,2,1465.85778809,2026-08-09,2026-08-30
,SonderjyskE,DEN,1,1465.48205566,2026-08-08,2026-08-30
,Darmstadt,GER,2,1463.35742188,2026-08-09,2026-08-30
,Thun,SUI,1,1463.22155762,2026-08-10,2026-08-13
,Holstein,GER,2,1462.63525391,2026-08-09,2026-08-30
,Samsunspor,TUR,1,1461.5769043,2026-05-17,2026-08-17
,Hertha,GER,2,1461.53930664,2026-08-08,2026-08-30
,Nuernberg,GER,2,1458.71105957,2026-08-10,2026-08-15
,Craiova,ROM,1,1458.68530273,2026-08-07,2026-08-13
,Catanzaro,ITA,2,1458.62231445,2026-05-30,2026-08-30
,Watford,ENG,2,1458.16186523,2026-05-31,2026-08-16
,Omonia,CYP,0,1456.90466309,2026-08-07,2026-08-13
,Lautern,GER,2,1456.03515625,2026-08-09,2026-08-15
,Pisa,ITA,1,1455.70275879,2026-05-24,2026-08-30
,Celje,SVN,1,1455.52685547,2026-08-12,2026-08-30
,Gyoer,HUN,1,1454.81433105,2026-08-07,2026-08-30
,Charlton,ENG,2,1452.98547363,2026-05-31,2026-08-15
,Stoke,ENG,2,1452.73168945,2026-05-31,2026-08-15
,LASK,AUT,1,1452.54577637,2026-08-10,2026-08-30
,Gornik,POL,1,1452.04504395,2026-08-09,2026-08-13
,Rio Ave,POR,1,1451.29162598,2026-08-10,2026-08-30
,Nacional,POR,1,1451.03417969,2026-08-11,2026-08-30
,Goeztepe,TUR,1,1450.39257812,2026-05-17,2026-08-17
,Lugano,SUI,1,1450.05969238,2026-08-10,2026-08-30
,Rubin Kazan,RUS,1,1449.72570801,2026-03-16,2026-08-30
,Cercle Brugge,BEL,1,1445.62524414,2026-08-09,2026-08-14
,Hradec Kralove,CZE,1,1445.51159668,2026-08-10,2026-08-13
,Silkeborg,DEN,1,1445.33215332,2026-08-11,2026-08-16
,Jablonec,CZE,1,1445.09509277,2026-08-10,2026-08-13
,Malmoe,SWE,1,1444.68383789,2026-08-10,2026-08-30
,Alverca,POR,1,1443.62695312,2026-08-10,2026-08-30
,Levski,BUL,1,1441.24841309,2026-08-12,2026-08-30
,Red Star,FRA,2,1441.04553223,2026-08-09,2026-08-30
,Go Ahead Eagles,NED,1,1440.83374023,2026-08-09,2026-08-30
,Legia,POL,1,1440.72375488,2026-08-09,2026-08-30
,Magdeburg,GER,2,1439.74865723,2026-08-09,2026-08-30
,Groningen,NED,1,1438.96704102,2026-08-10,2026-08-30
,M Tel Aviv,ISR,1,1438.46240234,2026-08-07,2026-08-13
,CFR Cluj,ROM,1,1437.53088379,2026-08-11,2026-08-30
,Basel,SUI,1,1436.53771973,2026-08-10,2026-08-30
,Karlsruhe,GER,2,1435.78112793,2026-08-09,2026-08-15
,Sion,SUI,1,1433.71728516,2026-08-10,2026-08-30
,Universitatea Cluj,ROM,1,1433.61633301,2026-08-11,2026-08-30
,Randers,DEN,1,1432.4888916,2026-08-10,2026-08-16
,Razgrad,BUL,1,1431.40698242,2026-08-10,2026-08-30
,Slovan Liberec,CZE,1,1431.40246582,2026-08-08,2026-08-30
,Young Boys,SUI,1,1431.35925293,2026-08-09,2026-08-30
,Odense,DEN,1,1430.63183594,2026-08-11,2026-08-16
,Zulte Waregem,BEL,1,1430.47900391,2026-08-10,2026-08-15
,Modena,ITA,2,1429.02416992,2026-05-13,2026-08-30
,Sociedad B,ESP,2,1428.48071289,2026-05-31,2026-08-14
,Casa Pia,POR,1,1427.91748047,2026-08-09,2026-08-30
,IK Sirius,SWE,1,1427.83227539,2026-08-11,2026-08-15
,Rosenborg,NOR,1,1427.67419434,2026-08-10,2026-08-30
,Hajduk,CRO,1,1426.87268066,2026-08-10,2026-08-13
,Steaua,ROM,1,1426.69921875,2026-08-11,2026-08-30
,Katowice,POL,1,1426.26806641,2026-08-13,2026-08-30
,Juve Stabia,ITA,2,1425.40307617,2026-05-20,2026-08-30
,Pogon,POL,1,1424.82568359,2026-08-09,2026-08-30
,Rostov,RUS,1,1424.74609375,2026-03-15,2026-08-30
,Sandefjord,NOR,1,1423.67431641,2026-08-08,2026-08-30
,Dunkerque,FRA,2,1423.47241211,2026-08-09,2026-08-30
,Empoli,ITA,2,1422.83190918,2026-05-09,2026-08-30
,Leuven,BEL,1,1422.09472656,2026-08-10,2026-08-15
,Servette,SUI,1,1417.44885254,2026-08-09,2026-08-30
,Beitar,ISR,1,1414.83398438,2026-08-07,2026-08-30
,Dresden,GER,2,1414.36071777,2026-08-10,2026-08-30
,Piast Gliwice,POL,1,1413.75854492,2026-08-10,2026-08-30
,Fredrikstad,NOR,1,1412.80065918,2026-08-09,2026-08-30
,Sparta Rotterdam,NED,1,1411.77038574,2026-08-10,2026-08-30
,Terek Grozny,RUS,1,1406.51818848,2026-03-16,2026-08-30
,Levadeiakos,GRE,1,1405.93115234,2026-05-18,2026-08-23
,Grenoble,FRA,2,1405.7088623,2026-08-09,2026-08-30
,Bielefeld,GER,2,1404.89758301,2026-08-09,2026-08-30
,Sarpsborg,NOR,1,1403.36450195,2026-08-09,2026-08-30
,Estrela Amadora,POR,1,1403.1652832,2026-08-09,2026-08-30
,Radomiak,POL,1,1402.66906738,2026-08-09,2026-08-30
,Rizespor,TUR,1,1402.17822266,2026-05-16,2026-08-15
,Mantova,ITA,2,1399.96459961,2026-05-09,2026-08-30
,Maritimo,POR,1,1399.68579102,2026-08-09,2026-08-30
,Austria Wien,AUT,1,1398.9432373,2026-08-10,2026-08-30
,Hibernian,SCO,1,1398.91027832,2026-08-10,2026-08-13
,Alanyaspor,TUR,1,1398.89453125,2026-05-17,2026-08-15
,Konyaspor,TUR,1,1398.39013672,2026-05-18,2026-08-15
,Lubin,POL,1,1397.54772949,2026-08-10,2026-08-30
,Luzern,SUI,1,1397.09777832,2026-08-10,2026-08-30
,Ham-Kam,NOR,1,1395.86999512,2026-08-10,2026-08-30
,Eldense,ESP,2,1395.08703613,2026-07-03,2026-08-17
,Sabadell,ESP,2,1395.08703613,2026-07-03,2026-08-17
,Guingamp,FRA,2,1394.87768555,2026-08-09,2026-08-30
,Fuerth,GER,2,1394.82678223,2026-08-10,2026-08-15
,Telstar,NED,1,1394.69750977,2026-08-09,2026-08-30
,Cracovia,POL,1,1394.18823242,2026-08-10,2026-08-30
,Sampdoria,ITA,2,1390.78149414,2026-05-09,2026-08-30
,Clermont,FRA,2,1390.66430664,2026-08-09,2026-08-30
,Korona,POL,1,1390.38623047,2026-08-09,2026-08-30
,Motherwell,SCO,1,1389.7043457,2026-08-10,2026-08-13
,Zwolle,NED,1,1389.3717041,2026-08-10,2026-08-30
,Elfsborg,SWE,1,1388.13391113,2026-08-09,2026-08-14
,Rijeka,CRO,1,1387.49780273,2026-08-07,2026-08-13
,GAIS,SWE,1,1387.08850098,2026-08-10,2026-08-30
,Carrarese,ITA,2,1385.89758301,2026-05-09,2026-08-30
,Spezia,ITA,2,1384.77941895,2026-05-09,2026-08-30
,Laval,FRA,2,1384.28735352,2026-08-09,2026-08-30
,Haecken,SWE,1,1383.41943359,2026-08-10,2026-08-30
,Sittard,NED,1,1383.10021973,2026-08-09,2026-08-30
,Kasimpasa,TUR,1,1383.04516602,2026-05-18,2026-08-15
,Avellino,ITA,2,1381.59423828,2026-05-09,2026-08-30
,Rapid Wien,AUT,1,1381.19360352,2026-08-10,2026-08-30
,Mlada Boleslav,CZE,1,1381.1496582,2026-08-09,2026-08-30
,AIK,SWE,1,1381.11547852,2026-08-09,2026-08-30
,Braunschweig,GER,2,1381.0489502,2026-08-09,2026-08-14
,Motor Lublin,POL,1,1379.69775391,2026-08-09,2026-08-30
,Valerenga,NOR,1,1377.26916504,2026-08-09,2026-08-30
,Excelsior,NED,1,1377.12597656,2026-08-08,2026-08-15
,Plock,POL,1,1375.22241211,2026-08-08,2026-08-30
,Lausanne,SUI,1,1374.96130371,2026-08-09,2026-08-30
,Pau,FRA,2,1374.34631348,2026-08-09,2026-08-30
,Suedtirol,ITA,2,1372.29504395,2026-05-23,2026-08-30
,Sigma Olomouc,CZE,1,1371.94616699,2026-08-03,2026-08-30
,Widzew,POL,1,1371.26391602,2026-08-10,2026-08-30
,Hartberg,AUT,1,1370.59326172,2026-08-09,2026-08-30
,Eyupspor,TUR,1,1370.07287598,2026-05-18,2026-08-16
,Goeteborg,SWE,1,1368.79516602,2026-08-10,2026-08-30
,RAAL,BEL,1,1368.54003906,2026-08-10,2026-08-30
,Rapid Bucuresti,ROM,1,1368.52368164,2026-08-08,2026-08-30
,Dinamo Bucuresti,ROM,1,1368.21972656,2026-08-09,2026-08-30
,Paksi,HUN,1,1367.53356934,2026-08-04,2026-08-30
,Slovan Bratislava,SLK,0,1366.51843262,2026-08-12,2026-08-30
,Bari,ITA,2,1366.16149902,2026-05-23,2026-08-30
,Kryliya Sovetov,RUS,1,1366.14489746,2026-03-16,2026-08-30
,Cesena,ITA,2,1365.54797363,2026-05-09,2026-08-30
,Padova,ITA,2,1365.39855957,2026-05-09,2026-08-30
,Koper,SVN,1,1364.5402832,2026-08-10,2026-08-30
,Puskas Akademia,HUN,1,1363.62231445,2026-08-08,2026-08-30
,KFUM Oslo,NOR,1,1363.44885254,2026-08-08,2026-08-30
,Lillestrom,NOR,1,1363.40368652,2026-08-10,2026-08-30
,Dijon,FRA,2,1361.63781738,2026-08-09,2026-08-30
,Sochaux,FRA,2,1361.63781738,2026-08-09,2026-08-30
,Akron Togliatti,RUS,1,1360.69018555,2026-03-16,2026-08-30
,Nancy,FRA,2,1359.40527344,2026-08-09,2026-08-30
,Entella,ITA,2,1358.0847168,2026-05-09,2026-08-30
,Varazdin,CRO,1,1357.82275391,2026-08-10,2026-08-30
,Boulogne,FRA,2,1357.81335449,2026-08-09,2026-08-30
,CSKA Sofia,BUL,1,1355.23095703,2026-08-10,2026-08-13
,Gaziantep FK,TUR,1,1354.34472656,2026-05-17,2026-08-15
,Debrecen,HUN,1,1353.97338867,2026-08-13,2026-08-30
,Lok Zagreb,CRO,1,1353.19470215,2026-08-09,2026-08-30
,Kristiansund,NOR,1,1353.01513672,2026-08-10,2026-08-30
,Pescara,ITA,2,1351.91564941,2026-05-09,2026-08-30
,FK Astana,KAZ,0,1351.59240723,2026-07-17,2026-08-30
,Beveren,BEL,1,1350.29199219,2026-08-10,2026-08-30
,Lommel,BEL,1,1350.29199219,2026-08-09,2026-08-30
,Kortrijk,BEL,1,1350.29199219,2026-08-08,2026-08-15
,Genclerbirligi,TUR,1,1349.63000488,2026-05-18,2026-08-15
,Maccabi Haifa,ISR,1,1347.22485352,2026-05-24,2026-08-30
,Lyngby,DEN,1,1347.06616211,2026-08-10,2026-08-16
,Horsens,DEN,1,1347.06616211,2026-08-10,2026-08-16
,Pardubice,CZE,1,1346.96411133,2026-08-10,2026-08-30
,Banik Ostrava,CZE,1,1346.5625,2026-08-10,2026-08-30
,Bohemians Praha,CZE,1,1344.51196289,2026-08-09,2026-08-13
,Orenburg,RUS,1,1343.03881836,2026-03-14,2026-08-30
,Kocaelispor,TUR,1,1342.98779297,2026-05-18,2026-08-16
,Cottbus,GER,2,1342.63476562,2026-08-10,2026-08-30
,Osnabrueck,GER,2,1342.63476562,2026-08-09,2026-08-30
,Partizan,SRB,1,1342.41906738,2026-08-07,2026-08-13
,Dunajska,SLK,0,1342.41223145,2026-08-07,2026-08-30
,Dynamo Makhachkala,RUS,1,1339.20922852,2026-03-14,2026-08-30
,Slask,POL,1,1338.51904297,2026-08-10,2026-08-30
,Wisla,POL,1,1338.51904297,2026-08-08,2026-08-30
,Nizhny Novgorod,RUS,1,1337.8013916,2026-03-16,2026-08-30
,Sheriff Tiraspol,MOL,0,1337.35595703,2026-08-07,2026-08-30
,Zalaegerszegi,HUN,1,1335.47644043,2026-08-04,2026-08-30
,Maribor,SVN,1,1334.22265625,2026-08-10,2026-08-30
,Reggiana,ITA,2,1334.04577637,2026-05-09,2026-08-30
,Trnava,SLK,0,1333.72814941,2026-07-29,2026-08-30
,Kayseri,TUR,1,1333.65490723,2026-05-18,2026-08-30
,Wolfsberg,AUT,1,1333.65039062,2026-08-10,2026-08-30
,Zilina,SLK,0,1333.45056152,2026-07-31,2026-08-30
,H Tel Aviv,ISR,1,1333.1138916,2026-08-13,2026-08-30
,Osijek,CRO,1,1330.08520508,2026-08-09,2026-08-30
,Antalyaspor,TUR,1,1328.7175293,2026-05-18,2026-08-30
,Teplice,CZE,1,1328.13928223,2026-08-09,2026-08-30
,Fatih Karaguemruek,TUR,1,1325.40710449,2026-05-17,2026-08-30
,Zira,AZE,0,1319.08618164,2026-07-31,2026-08-30
,Olimpija Ljubljana,SVN,1,1317.77832031,2026-08-09,2026-08-30
,Willem II,NED,1,1317.28894043,2026-08-09,2026-08-30
,Cambuur,NED,1,1317.28894043,2026-08-08,2026-08-30
,Den Haag,NED,1,1317.28894043,2026-08-09,2026-08-30
