can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,price_change_percent,price_change_hourly_rate,price_change_projections,price_change_locked_until,price_change_calibrating,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,known_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,scout_risks,scout_news_link,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
True,True,75.0,75.0,463067,0,0,0,0,1.6,-259,"[{'offset': 0, 'projected_percent': '1.0', 'likelihood': 1}, {'offset': 1, 'projected_percent': '-15.8', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-37.6', 'likelihood': -2}]",,False,0,4,1.9,1.9,0,Georginio,2.5,125,False,Unspecified injury - 75% chance of playing,2026-08-26T16:00:07.608056Z,55,463067.jpg,5.0,False,Rutter,0.9,False,,d,5,36,5,26088,2201,22470,7463,0.5,0.9,Georginio,,73.0,2024-08-19,2002-04-20,False,p463067,90,0,1,1,0,0,0,0,0,0,0,0,22,19.8,11.4,15.0,4.6,1,4,2,7,1,0.08,0.44,0.52,0.29,,,,,,,[],https://www.brightonandhovealbion.com/media-article/match-preview-albion-head-to-chelsea-on-sunday,86,8,113,14,69,14,87,12,0.08,0.0,0.44,0.52,0.29,0.0,175,40,131,15,61,5,201,32,1.0,1.0,7.0
True,True,,,219249,0,0,0,0,-37.6,-10,"[{'offset': 0, 'projected_percent': '-39.9', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-53.8', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-67.6', 'likelihood': -3}]",,False,0,3,0.0,0.0,0,Matt,0.0,126,False,,,55,219249.jpg,0.0,False,O'Riley,0.1,False,,a,5,36,0,975,319,1862,510,0.0,0.0,O'Riley,,58.0,2024-08-26,2000-11-21,False,p219249,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,3.0,,[],,557,234,572,243,548,226,572,241,0.0,0.0,0.0,0.0,0.0,0.0,147,90,585,249,585,249,414,163,0.0,0.0,0.0
True,True,,,514254,0,0,0,0,9.3,1004,"[{'offset': 0, 'projected_percent': '11.6', 'likelihood': 1}, {'offset': 1, 'projected_percent': '25.3', 'likelihood': 2}, {'offset': 2, 'projected_percent': '39.1', 'likelihood': 2}]",,False,0,3,5.5,5.5,5,Diego,5.5,127,False,,,50,514254.jpg,5.5,False,Gómez Amarilla,3.9,False,,a,5,36,11,47438,23486,26614,9742,1.1,2.2,Gomez,Diego Gómez,168.0,2025-01-01,2003-03-27,False,p514254,175,0,2,1,4,0,0,0,0,0,0,0,42,33.0,25.1,41.0,9.9,3,3,5,11,2,0.57,0.64,1.21,3.26,,,5.0,,,,[],,43,19,47,31,12,7,13,10,0.29,0.0,0.33,0.62,1.68,2.06,355,207,42,21,53,26,89,28,1.03,0.51,5.66
True,False,0.0,0.0,536916,0,0,0,0,0.0,0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",,False,0,3,0.0,0.0,0,Facundo,0.0,128,False,Has joined Elche on loan for the rest of the season,2026-08-10T14:03:07.561436Z,50,536916.jpg,0.0,False,Buonanotte,0.0,False,,u,5,36,0,0,0,208,35,0.0,0.0,Buonanotte,,10.0,2023-01-01,2004-12-23,False,p536916,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,520,212,533,221,491,189,536,219,0.0,0.0,0.0,0.0,0.0,0.0,366,216,558,233,558,233,612,267,0.0,0.0,0.0
True,True,75.0,,509416,0,0,0,0,-25.8,-359,"[{'offset': 0, 'projected_percent': '-33.3', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-79.3', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-125.3', 'likelihood': -5}]",,False,0,3,0.8,1.0,0,Yasin,1.0,129,False,Ankle injury - 75% chance of playing,2026-08-30T18:00:07.935334Z,55,509416.jpg,2.0,False,Ayari,0.6,False,,d,5,36,2,4560,1226,11518,3907,0.2,0.4,Ayari,,206.0,2023-01-30,2003-10-06,False,p509416,63,0,0,1,0,0,0,0,1,0,0,0,8,0.0,15.0,6.0,1.7,1,3,0,4,1,0.11,0.03,0.14,0.19,4.0,,2.0,,,,[],,574,246,81,51,121,62,201,89,0.16,0.0,0.04,0.2,0.27,0.0,195,122,250,119,177,88,239,80,1.43,1.43,5.71
True,True,,,467779,0,0,0,0,5.9,17,"[{'offset': 0, 'projected_percent': '6.0', 'likelihood': 1}, {'offset': 1, 'projected_percent': '6.2', 'likelihood': 1}, {'offset': 2, 'projected_percent': '6.4', 'likelihood': 1}]",,False,0,2,3.5,3.5,0,Mats,3.5,130,False,,,50,467779.jpg,3.5,False,Wieffer,0.5,False,,a,5,36,7,18123,4695,4928,1871,0.7,1.4,Wieffer,,152.0,2024-07-06,1999-11-16,False,p467779,156,0,0,1,4,0,0,0,0,0,0,1,40,16.6,26.3,6.0,4.9,11,9,4,15,2,0.11,0.13,0.24,3.22,,,,,,,[],,104,44,40,13,116,35,80,28,0.06,0.0,0.08,0.14,1.86,2.31,320,60,86,33,97,35,262,97,1.15,0.58,8.65
True,False,0.0,0.0,597320,0,0,0,0,0.0,-14,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",,False,0,3,0.0,0.0,0,Harry,0.0,132,False,Has joined Leicester City on loan for the rest of the season,2026-08-17T13:53:19.019938Z,45,597320.jpg,0.0,False,Howell,0.0,False,,u,5,36,0,0,0,1904,372,0.0,0.0,Howell,,,,,False,p597320,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,419,154,425,164,365,122,435,161,0.0,0.0,0.0,0.0,0.0,0.0,531,267,478,189,478,189,494,202,0.0,0.0,0.0
True,False,0.0,0.0,549074,0,0,0,0,0.0,0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",,False,0,3,0.0,0.0,0,Tom,0.0,133,False,Has joined Leicester City on loan for the rest of the season,2026-08-03T14:05:44.459483Z,50,549074.jpg,0.0,False,Watson,0.0,False,,u,5,36,0,0,0,70,14,0.0,0.0,Watson,,241.0,2025-06-01,2006-04-08,False,p549074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,523,215,536,224,495,193,539,222,0.0,0.0,0.0,0.0,0.0,0.0,371,221,561,236,561,236,620,272,0.0,0.0,0.0
True,True,,,556637,0,0,0,0,-10.7,12,"[{'offset': 0, 'projected_percent': '-9.7', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-3.5', 'likelihood': -1}, {'offset': 2, 'projected_percent': '0.1', 'likelihood': 1}]",,False,0,3,0.0,0.0,0,Nehemiah,0.0,134,False,,,45,556637.jpg,0.0,False,Oriola,0.3,False,,a,5,36,0,2603,895,3676,896,0.0,0.0,Oriola,,241.0,2025-10-17,2007-06-11,False,p556637,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,406,149,413,159,351,117,422,156,0.0,0.0,0.0,0.0,0.0,0.0,515,261,466,184,466,184,307,107,0.0,0.0,0.0
True,True,,,700308,0,0,0,0,-48.6,-23,"[{'offset': 0, 'projected_percent': '-56.7', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-106.1', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-155.5', 'likelihood': -5}]",,False,0,3,0.5,0.5,0,Zadok,0.5,135,False,,,50,700308.jpg,1.0,False,Yohanna,0.1,False,,a,5,36,1,505,132,1283,404,0.1,0.2,Yohanna,,157.0,2026-06-15,2007-06-29,False,p700308,12,0,0,0,0,0,0,0,0,0,0,0,3,0.2,1.3,0.0,0.2,0,0,0,0,0,0.00,0.03,0.03,0.00,,,,,,,[],,278,133,210,119,517,209,284,135,0.0,0.0,0.22,0.22,0.0,0.0,399,240,313,147,292,137,468,189,0.0,0.0,0.0
True,True,0.0,0.0,608181,0,0,0,0,-46.9,-1,"[{'offset': 0, 'projected_percent': '-48.2', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-55.6', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-63.0', 'likelihood': -3}]",,False,0,4,0.0,0.0,0,Stefanos,0.0,137,False,Knee injury - Unknown return date,2026-07-23T12:01:23.432796Z,55,608181.jpg,0.0,False,Tzimas,0.0,False,,i,5,36,0,102,18,316,64,0.0,0.0,Tzimas,,83.0,2025-02-03,2006-01-06,False,p608181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],https://www.brightonandhovealbion.com/media-article/fabian-hurzeler-reflects-on-a-successful-training-camp?srsltid=AfmBOoq6Qw6fHwT9Mxn5PIGBhoGos01rwVude5hxVRG_7iMPpS-YkOIf&utm_source=chatgpt.com,580,55,590,61,581,61,592,62,0.0,0.0,0.0,0.0,0.0,0.0,215,45,598,66,598,66,597,72,0.0,0.0,0.0
True,True,,,647850,0,0,0,0,0.6,161,"[{'offset': 0, 'projected_percent': '1.0', 'likelihood': 1}, {'offset': 1, 'projected_percent': '3.2', 'likelihood': 1}, {'offset': 2, 'projected_percent': '5.4', 'likelihood': 1}]",,False,0,4,3.0,3.0,5,Charalampos,3.0,138,False,,,55,647850.jpg,3.0,False,Kostoulas,0.3,False,,a,5,36,6,4504,3120,3046,895,0.5,1.1,Kostoulas,,83.0,2025-07-01,2007-05-30,False,p647850,105,0,1,0,4,0,0,0,0,0,0,0,16,0.0,0.4,10.0,0.9,0,7,1,8,1,0.35,0.02,0.37,3.03,,,,,,,[],,582,56,255,29,88,17,237,23,0.3,0.0,0.02,0.32,2.6,3.43,217,46,109,13,119,18,315,53,0.86,0.0,6.86
True,True,0.0,0.0,487117,0,0,0,0,-18.9,-3,"[{'offset': 0, 'projected_percent': '-19.8', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-25.2', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-30.6', 'likelihood': -2}]",,False,0,4,0.0,0.0,0,Evan,0.0,139,False,Ankle injury - Expected back 10 Oct,2026-07-23T12:01:23.448357Z,50,487117.jpg,0.0,False,Ferguson,0.0,False,,i,5,36,0,521,203,871,248,0.0,0.0,Ferguson,,104.0,2021-08-23,2004-10-19,False,p487117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],https://www.brightonandhovealbion.com/media-article/fabian-hurzeler-reflects-on-a-successful-training-camp?srsltid=AfmBOoq6Qw6fHwT9Mxn5PIGBhoGos01rwVude5hxVRG_7iMPpS-YkOIf&utm_source=chatgpt.com,501,39,513,47,469,46,517,48,0.0,0.0,0.0,0.0,0.0,0.0,330,55,542,56,542,56,530,69,0.0,0.0,0.0
True,True,100.0,100.0,222694,0,0,0,0,-28.9,-25,"[{'offset': 0, 'projected_percent': '-31.5', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-47.4', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-63.4', 'likelihood': -3}]",,False,0,2,0.0,0.0,0,Pascal,0.0,328,False,,2026-08-15T20:30:07.523574Z,50,222694.jpg,0.0,False,Struijk,0.2,False,,a,5,36,0,1857,441,3451,897,0.0,0.0,Struijk,,152.0,2026-06-30,1999-08-11,False,p222694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,471,187,480,187,428,173,487,187,0.0,0.0,0.0,0.0,0.0,0.0,281,49,517,187,517,187,326,122,0.0,0.0,0.0
True,True,,,610799,0,0,0,0,5.1,-89,"[{'offset': 0, 'projected_percent': '4.9', 'likelihood': 1}, {'offset': 1, 'projected_percent': '3.7', 'likelihood': 1}, {'offset': 2, 'projected_percent': '2.5', 'likelihood': 1}]",,False,0,2,3.0,3.0,0,Luka,3.0,504,False,,,50,610799.jpg,3.0,False,Vušković,2.5,False,,a,5,36,6,28355,7169,19399,7052,0.6,1.2,Vuskovic,,97.0,2026-07-14,2007-02-24,False,p610799,180,0,0,1,4,0,0,0,0,0,0,0,17,12.4,4.5,12.0,2.9,11,5,1,12,2,0.16,0.04,0.20,3.26,,,,,,,[],,141,66,149,44,78,22,137,54,0.08,0.0,0.02,0.1,1.63,2.0,386,75,101,38,112,41,115,45,1.0,0.5,6.0
True,True,,,538007,0,0,0,0,0.0,0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",2026-09-01T14:01:16.200061Z,False,0,4,0.5,0.5,1,Promise,0.5,594,False,,,60,538007.jpg,1.0,False,David,0.3,False,,a,5,36,1,3662,1143,5643,1502,0.1,0.2,David,,39.0,2026-08-18,2001-07-03,False,p538007,10,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.04,,,,,2.0,,[],,607,66,610,67,605,67,610,67,0.0,0.0,0.0,0.0,0.36,0.0,98,24,340,40,325,38,312,52,0.0,0.0,0.0
True,True,,,612855,0,0,0,0,0.0,0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",2026-09-03T13:04:41.322924Z,False,0,3,1.0,1.0,1,Ibrahim,1.0,600,False,,,50,612855.jpg,1.0,False,Osman,0.0,False,,a,5,36,2,299,81,203,60,0.2,0.4,Osman,,81.0,2024-07-01,2004-11-29,False,p612855,28,0,0,0,1,0,0,0,0,0,0,0,13,4.2,15.4,4.0,2.4,0,2,1,3,0,0.00,0.06,0.06,0.10,,,,,,,[],,221,95,78,49,136,68,157,71,0.0,0.0,0.19,0.19,0.32,3.21,387,232,240,112,287,132,565,234,0.0,0.0,9.64
True,True,,,611695,0,0,0,0,0.0,0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",2026-09-05T18:19:45.373499Z,False,0,3,4.5,4.5,8,Malick,4.5,605,False,,,45,611695.jpg,4.5,False,Yalcouyé,0.4,False,,a,5,36,9,27577,23238,3235,2283,1.0,2.0,Yalcouyé,,54.0,2024-07-12,2005-11-18,False,p611695,77,1,0,0,3,0,0,0,0,0,0,1,42,0.6,2.7,0.0,0.3,2,2,3,7,1,0.79,0.17,0.96,2.87,,,,,,,[],,269,126,167,98,367,123,275,129,0.92,0.0,0.2,1.12,3.35,3.51,534,268,60,30,70,34,285,93,1.17,0.0,8.18
True,True,,,512123,0,0,0,0,0.0,0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",2026-09-08T14:03:01.287849Z,False,0,2,1.7,1.7,0,Jaouen,0.0,614,False,,,45,512123.jpg,0.0,False,Hadjam,0.0,False,,a,5,36,0,1805,799,187,133,0.0,0.0,Hadjam,,3.0,2026-08-25,2003-03-26,False,p512123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,392,164,399,165,337,147,408,164,0.0,0.0,0.0,0.0,0.0,0.0,500,135,452,170,452,170,534,187,0.0,0.0,0.0
True,True,,,519324,0,0,0,0,0.0,0,"[{'offset': 0, 'projected_percent': '0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0', 'likelihood': 0}]",2026-09-12T18:33:35.104021Z,True,0,3,1.5,1.5,0,Amario,0.0,624,False,,,50,519324.jpg,0.0,False,Cozier-Duberry,0.0,False,,a,5,36,0,0,0,0,0,0.0,0.0,Cozier-Duberry,,,,,False,p519324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,517,209,530,218,488,186,533,216,0.0,0.0,0.0,0.0,0.0,0.0,359,211,555,230,555,230,625,276,0.0,0.0,0.0
True,True,,,98980,0,0,0,0,-34.4,352,"[{'offset': 0, 'projected_percent': '-32.5', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-20.7', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-8.9', 'likelihood': -1}]",,False,0,1,1.0,1.0,2,Emiliano,1.0,28,False,,,50,98980.jpg,2.0,False,Martínez Romero,4.3,False,,a,6,8,2,45545,16159,73394,8480,0.2,0.4,Martinez,Emiliano Martínez,10.0,2020-09-16,1992-09-02,False,p98980,90,0,0,0,3,0,0,0,0,0,4,0,18,0.0,0.0,0.0,0.0,1,13,0,0,1,0.00,0.01,0.01,1.49,,,,,,,[],,441,63,448,52,389,52,457,63,0.0,4.0,0.01,0.01,1.49,3.0,233,7,225,18,157,12,82,12,1.0,0.0,0.0
True,True,,,244850,0,0,0,0,89.3,-975,"[{'offset': 0, 'projected_percent': '87.1', 'likelihood': 3}, {'offset': 1, 'projected_percent': '73.7', 'likelihood': 3}, {'offset': 2, 'projected_percent': '60.3', 'likelihood': 3}]",,False,0,3,6.5,6.5,5,Morgan,6.5,40,False,,,75,244850.jpg,6.5,False,Rogers,26.1,False,,a,6,8,13,328300,76449,134665,62916,0.9,1.7,Rogers,,241.0,2026-07-21,2002-07-26,False,p244850,171,1,1,0,5,0,0,0,0,0,0,1,65,48.8,53.5,29.0,13.1,1,8,3,12,2,1.14,1.02,2.16,2.73,4.0,,,,,,[],,8,6,4,3,30,16,3,3,0.6,0.0,0.54,1.14,1.44,2.63,17,10,27,16,33,19,10,4,1.05,0.0,6.32
True,True,75.0,75.0,56979,0,0,0,0,-45.8,-9,"[{'offset': 0, 'projected_percent': '-49.0', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-68.2', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-87.5', 'likelihood': -3}]",,False,0,3,0.0,0.0,0,Jordan,0.0,101,False,Wrist injury - 75% chance of playing,2026-08-09T09:30:07.136250Z,50,56979.jpg,0.0,False,Henderson,0.0,False,,d,6,8,0,305,91,946,255,0.0,0.0,Henderson,Jordan Henderson,241.0,2026-08-03,1990-06-17,False,p56979,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,438,166,444,176,385,135,454,173,0.0,0.0,0.0,0.0,0.0,0.0,227,141,495,200,495,200,517,216,0.0,0.0,0.0
True,True,100.0,100.0,50175,0,0,0,0,-120.4,-309,"[{'offset': 0, 'projected_percent': '-128.0', 'likelihood': -5}, {'offset': 1, 'projected_percent': '-174.8', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-221.6', 'likelihood': -5}]",,False,0,4,0.0,0.0,0,Danny,0.0,136,False,,2026-08-20T14:00:07.949090Z,60,50175.jpg,0.0,False,Welbeck,0.9,False,,a,6,8,0,6118,2982,29400,6975,0.0,0.0,Welbeck,,241.0,2026-08-01,1990-11-26,False,p50175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,591,59,598,63,589,63,600,64,0.0,0.0,0.0,0.0,0.0,0.0,57,13,603,68,603,68,195,30,0.0,0.0,0.0
True,True,,,215059,0,0,0,0,-88.3,-916,"[{'offset': 0, 'projected_percent': '-99.1', 'likelihood': -4}, {'offset': 1, 'projected_percent': '-165.1', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-231.0', 'likelihood': -5}]",,False,0,1,1.0,1.0,0,Robert,1.0,140,False,,,50,215059.jpg,2.0,False,Lynch Sánchez,2.0,False,,a,6,8,2,10104,1180,47088,19897,0.2,0.4,Sánchez,,200.0,2023-08-05,1997-11-18,False,p215059,90,0,0,0,2,0,0,0,0,0,4,0,6,21.4,0.0,0.0,2.1,1,5,0,0,1,0.00,0.01,0.01,1.33,,,,,,,[],,78,11,473,57,419,57,170,11,0.0,4.0,0.01,0.01,1.33,2.0,270,12,228,19,161,13,129,19,1.0,0.0,0.0
True,False,0.0,0.0,508479,0,0,0,0,0.0,-1,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",,False,0,1,0.0,0.0,0,Filip,0.0,141,False,Has joined RC Strasbourg on loan for the rest of the season,2026-08-12T14:07:02.607115Z,50,508479.jpg,0.0,False,Jörgensen,0.0,False,,u,6,8,0,0,0,595,94,0.0,0.0,Jörgensen,,58.0,2024-07-30,2002-04-16,False,p508479,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,515,70,528,66,485,66,531,70,0.0,0.0,0.0,0.0,0.0,0.0,352,21,553,70,553,70,581,68,0.0,0.0,0.0
True,True,,,225796,0,0,0,0,-20.4,-2047,"[{'offset': 0, 'projected_percent': '-25.4', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-56.1', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-86.8', 'likelihood': -3}]",,False,0,2,0.5,0.5,1,Reece,0.5,142,False,,,55,225796.jpg,0.5,False,James,9.5,False,,a,6,8,1,74926,12401,131083,49765,0.1,0.2,James,,241.0,2019-05-15,1999-12-08,False,p225796,112,0,0,0,3,0,0,0,1,0,0,0,4,23.4,16.8,19.0,5.9,6,5,0,6,1,0.10,0.07,0.17,1.47,1.0,,1.0,,,,[],,72,32,71,23,48,13,54,15,0.08,0.0,0.06,0.14,1.18,2.41,149,18,320,113,344,115,41,14,0.8,0.0,4.82
True,False,0.0,0.0,180736,0,0,0,0,0.0,-66,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",,False,0,2,0.0,0.0,0,Trevoh,0.0,143,False,Has joined Como permanently,2026-08-10T14:03:50.769483Z,55,180736.jpg,0.0,False,Chalobah,0.1,False,,u,6,8,0,0,0,9503,1445,0.0,0.0,Chalobah,,241.0,2018-02-16,1999-07-05,False,p180736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,548,202,563,202,535,195,564,202,0.0,0.0,0.0,0.0,0.0,0.0,130,14,579,201,579,201,403,143,0.0,0.0,0.0
True,True,,,482609,0,0,0,0,1.7,-115,"[{'offset': 0, 'projected_percent': '1.5', 'likelihood': 1}, {'offset': 1, 'projected_percent': '-0.8', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-14.1', 'likelihood': -1}]",,False,0,2,1.0,1.0,1,Malo,1.0,144,False,,,50,482609.jpg,1.0,False,Gusto,1.2,False,,a,6,8,2,17201,3876,15947,5000,0.2,0.4,Gusto,,73.0,2023-01-28,2003-05-19,False,p482609,165,0,0,0,5,0,0,0,0,0,0,0,1,7.2,9.8,6.0,2.3,6,7,2,8,2,0.00,0.04,0.04,2.60,,,,,,,[],,185,82,125,38,117,36,162,63,0.0,0.0,0.02,0.02,1.42,2.73,326,62,235,83,272,103,174,72,1.09,0.0,4.36
True,True,100.0,100.0,444463,0,0,0,0,0.0,0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",2026-09-01T21:00:07.689883Z,False,0,2,0.0,0.0,0,Wesley,0.0,145,False,,2026-07-23T12:01:23.464591Z,50,444463.jpg,0.0,False,Fofana,0.1,False,,a,6,8,0,1741,928,566,305,0.0,0.0,Fofana,Wesley Fofana,73.0,2022-08-31,2000-12-17,False,p444463,67,0,0,0,2,0,0,0,1,0,0,0,-2,0.0,0.0,0.0,0.0,9,0,0,9,1,0.00,0.01,0.01,1.35,,,,,,,[],,487,190,497,190,450,178,503,190,0.0,0.0,0.01,0.01,1.81,2.69,306,55,531,190,531,190,489,172,1.34,0.0,12.09
True,False,0.0,0.0,242880,0,0,0,0,0.0,-8,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",,False,0,2,0.0,0.0,0,Benoît,0.0,146,False,Has joined Napoli on loan for the rest of the season,2026-08-25T14:03:47.079414Z,45,242880.jpg,0.0,False,Badiashile Mukinayi,0.0,False,,u,6,8,0,232,0,1097,297,0.0,0.0,B.Badiashile,,73.0,2023-01-05,2001-03-26,False,p242880,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,369,153,374,157,305,134,386,154,0.0,0.0,0.0,0.0,0.0,0.0,461,115,431,161,431,161,558,193,0.0,0.0,0.0
True,True,,,109646,0,0,0,0,-58.8,-33,"[{'offset': 0, 'projected_percent': '-62.8', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-87.8', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-112.8', 'likelihood': -5}]",,False,0,2,0.0,0.0,0,Tosin,0.0,147,False,,,45,109646.jpg,0.0,False,Adarabioyo,0.2,False,,a,6,8,0,339,76,2755,635,0.0,0.0,Tosin,,241.0,2024-07-01,1997-09-24,False,p109646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,345,141,348,144,275,117,362,142,0.0,0.0,0.0,0.0,0.0,0.0,419,86,412,154,412,154,352,131,0.0,0.0,0.0
